Feature,Importance
PPE,0.15247646242377955
spread1,0.10697359172337823
MDVP:Fo(Hz),0.06417444845824513
NHR,0.06234748568414522
Jitter:DDP,0.05640387844808143
MDVP:Fhi(Hz),0.05577426023572422
MDVP:Flo(Hz),0.053636287633794466
spread2,0.040810298912873404
Shimmer:APQ5,0.039663192966607905
MDVP:RAP,0.0393850708847535
D2,0.032455075675945994
MDVP:APQ,0.03131817066570134
MDVP:Shimmer,0.03089739430598003
Shimmer:DDA,0.030770621275596478
Shimmer:APQ3,0.030373635148920018
RPDE,0.02936634224071749
MDVP:PPQ,0.02899989492007493
MDVP:Jitter(Abs),0.026482229808670845
HNR,0.024177391775566093
MDVP:Jitter(%),0.021813984031949327
MDVP:Shimmer(dB),0.021325762602864222
DFA,0.020374520176630283
